"id","name","degrees","qualification_type","created_at"
459,"finance","[{""id"": 56, ""name"": ""master of commerce"", ""created"": ""2023-01-11T16:34:38.694951Z"", ""details"": {""shortname"": ""m com"", ""qualification_type"": {""id"": 2, ""name"": ""masters"", ""created"": ""2023-01-10T05:32:57.088029Z"", ""details"": {}, ""updated"": ""2023-01-10T05:32:57.088029Z"", ""priority"": true}}, ""updated"": ""2023-02-28T06:32:30.062534Z"", ""priority"": false}]","masters","2023-01-11 16:31:27.492981+00"
460,"food science and nutrition","[{""id"": 57, ""name"": ""master of science""}]","masters","2023-01-11 16:31:27.494564+00"
461,"hospitality management","[{""id"": 57, ""name"": ""master of science""}]","masters","2023-01-11 16:31:27.496162+00"
462,"hindi","[{""id"": 55, ""name"": ""master of arts"", ""created"": ""2023-01-11T16:34:38.693323Z"", ""details"": {""shortname"": ""ma"", ""qualification_type"": {""id"": 2, ""name"": ""masters"", ""created"": ""2023-01-10T05:32:57.088029Z"", ""details"": {}, ""updated"": ""2023-01-10T05:32:57.088029Z"", ""priority"": true}}, ""updated"": ""2023-02-28T06:32:21.029311Z"", ""priority"": false}]","masters","2023-01-11 16:31:27.497747+00"
463,"history","[{""id"": 55, ""name"": ""master of arts"", ""created"": ""2023-01-11T16:34:38.693323Z"", ""details"": {""shortname"": ""ma"", ""qualification_type"": {""id"": 2, ""name"": ""masters"", ""created"": ""2023-01-10T05:32:57.088029Z"", ""details"": {}, ""updated"": ""2023-01-10T05:32:57.088029Z"", ""priority"": true}}, ""updated"": ""2023-02-28T06:32:21.029311Z"", ""priority"": false}]","masters","2023-01-11 16:31:27.499331+00"
464,"commerce","[{""id"": 87, ""name"": ""master of philosophy"", ""created"": ""2023-01-11T16:34:38.752839Z"", ""details"": {""shortname"": ""m phil"", ""qualification_type"": {""id"": 2, ""name"": ""masters""}}, ""updated"": ""2023-01-11T16:34:38.752839Z"", ""priority"": false}]","masters","2023-01-11 16:31:27.500916+00"
465,"political science","[{""id"": 55, ""name"": ""master of arts"", ""created"": ""2023-01-11T16:34:38.693323Z"", ""details"": {""shortname"": ""ma"", ""qualification_type"": {""id"": 2, ""name"": ""masters"", ""created"": ""2023-01-10T05:32:57.088029Z"", ""details"": {}, ""updated"": ""2023-01-10T05:32:57.088029Z"", ""priority"": true}}, ""updated"": ""2023-02-28T06:32:21.029311Z"", ""priority"": false}]","masters","2023-01-11 16:31:27.5025+00"
466,"geography","[{""id"": 57, ""name"": ""master of science""}]","masters","2023-01-11 16:31:27.504101+00"
467,"sociology","[{""id"": 87, ""name"": ""master of philosophy"", ""created"": ""2023-01-11T16:34:38.752839Z"", ""details"": {""shortname"": ""m phil"", ""qualification_type"": {""id"": 2, ""name"": ""masters""}}, ""updated"": ""2023-01-11T16:34:38.752839Z"", ""priority"": false}]","masters","2023-01-11 16:31:27.50585+00"
468,"economics","[{""id"": 56, ""name"": ""master of commerce"", ""created"": ""2023-01-11T16:34:38.694951Z"", ""details"": {""shortname"": ""m com"", ""qualification_type"": {""id"": 2, ""name"": ""masters"", ""created"": ""2023-01-10T05:32:57.088029Z"", ""details"": {}, ""updated"": ""2023-01-10T05:32:57.088029Z"", ""priority"": true}}, ""updated"": ""2023-02-28T06:32:30.062534Z"", ""priority"": false}]","masters","2023-01-11 16:31:27.507422+00"
